,linkID,dist,alt_change,slopes,mean_slope
0,51865408,"[67.3412130381952, 68.5728727021415, 56.78965390036155, 62.079580081771994]","[-1, 0, 19, 0]","[-0.014848655965818238, 0.0, 0.322861327837228, 0.0]",0.07700316796785243
0,51865673,[],[],[],
0,51866677,"[20.238675547615582, 11.97239949005601]","[-1, 24]","[-0.04937019685324395, 1.108069157942699]",0.5293494805447274
0,51866678,"[54.66862867469829, 31.421915613716664]","[7, 23]","[0.1273512143045716, 0.6318637788761173]",0.3796074965903445
0,51867040,"[24.157969707249364, 0.5044879452369886, 0.15457806285453768, 0.10425744569199512, 0.04580169740296249, 4.131038232476426, 27.04669228933136, 27.95244356662805]","[0, 0, 0, 0, 0, 0, -1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03695626410425236, 0.035759797060763925]",-0.00014955838043605434
0,51867079,"[25.94024642690559, 10.081261964702398, 11.472216218026785, 27.51178549606924, 55.08027588269874, 35.824667137583276]","[-1, 0, 1, 1, -1, 2]","[-0.03853105532696276, 0.0, 0.08694734852992188, 0.0363320641301955, -0.018153325012018755, 0.05576956419629073]",0.020394099419571095
0,51867087,"[15.398945205798029, 0.4305403840382532, 0.06467030461925935, 0.5053228219975012, 0.9997841890792021, 0.28515921221639545]","[-2, 1, 1, 0, 0, 0]","[-0.12915603838854897, 1.1642422991554569, 1.5062159523741923, 0.0, 0.0, 0.0]",0.42355036885685005
0,51867088,[15.36510684720572],[6],[0.3722857989661477],0.3722857989661477
0,51867089,[23.837840652083607],[9],[0.3610052644105237],0.3610052644105237
0,51867096,[],[],[],
0,51867114,[36.913588678551804],[3],[0.08109265999088994],0.08109265999088994
0,51867577,"[55.70669218805988, 54.353406265486754, 53.12376449833718, 6.430599276628208, 66.34452336110714, 61.30600416568565]","[-1, -2, -3, 17, -3, -1]","[-0.017949236738343262, -0.03677962852066728, -0.05641198512358555, 1.209161416410578, -0.04518772070394825, -0.01631016958547299]",0.1727537792897601
0,51867645,[9.692646505007989],[31],[1.2677602194113367],1.2677602194113367
0,51867664,"[29.804691833654854, 11.007563156178946, 12.465237536601105, 50.10136023841538]","[0, -3, -1, 8]","[0.0, -0.26607762640280685, -0.08005166322278619, 0.15833962948355637]",-0.046947415035509164
0,51867666,"[79.03908268289631, 40.32941827717262]","[0, 8]","[0.0, 0.1958242620852121]",0.09791213104260604
0,51867694,[],[],[],
0,51867695,[],[],[],
0,51867717,[],[],[],
0,51867758,[131.00792514538918],[20],[0.15149285665435452],0.15149285665435452
0,51867774,"[38.15968420905064, 18.060151488245054, 67.73002771685847]","[0, 5, -1]","[0.0, 0.2700877466345843, -0.014763427385487556]",0.08510810641636557
0,51868077,[26.702388941518787],[-2],[-0.07476007369770404],-0.07476007369770404
0,51869456,[90.56492221187486],[0],[0.0],0.0
0,51869460,[],[],[],
0,51872092,"[7.396822124337758, 0.5266156007902985, 0.7346978745983707, 1.681549781518205, 1.1291390294110206, 2.8575285340030843, 25.689722035351405]","[1, -1, 0, -1, -1, 0, -1]","[0.13437845803017132, -1.0860836504452303, 0.0, -0.5365055715082987, -0.7248192077386079, 0.0, -0.03890643026785838]",-0.3217052002756891
0,51872100,[],[],[],
0,51872116,[79.08975248258118],[1],[0.012643189346686994],0.012643189346686994
0,51872117,[79.17668345722377],[1],[0.012629309403816484],0.012629309403816484
0,51872134,[],[],[],
